id,posterior
seen_pair_000001,0.5
seen_pair_000002,0.5
seen_pair_000003,0.5
seen_pair_000004,0.5
seen_pair_000005,0.5
seen_pair_000006,0.5
seen_pair_000007,0.5
seen_pair_000008,0.5
seen_pair_000009,0.5
seen_pair_000010,0.5
seen_pair_000011,0.5
seen_pair_000012,0.5
seen_pair_000013,0.5
seen_pair_000014,0.5
seen_pair_000015,0.5
seen_pair_000016,0.5
seen_pair_000017,0.5
seen_pair_000018,0.5
seen_pair_000019,0.5
seen_pair_000020,0.5
seen_pair_000021,0.5
seen_pair_000022,0.5
seen_pair_000023,0.5
seen_pair_000024,0.5
seen_pair_000025,0.5
seen_pair_000026,0.5
seen_pair_000027,0.5
seen_pair_000028,0.5
seen_pair_000029,0.5
seen_pair_000030,0.5
seen_pair_000031,0.5
seen_pair_000032,0.5
seen_pair_000033,0.5
seen_pair_000034,0.5
seen_pair_000035,0.5
seen_pair_000036,0.5
seen_pair_000037,0.5
seen_pair_000038,0.5
seen_pair_000039,0.5
seen_pair_000040,0.5
seen_pair_000041,0.5
seen_pair_000042,0.5
seen_pair_000043,0.5
seen_pair_000044,0.5
seen_pair_000045,0.5
seen_pair_000046,0.5
seen_pair_000047,0.5
seen_pair_000048,0.5
seen_pair_000049,0.5
seen_pair_000050,0.5
seen_pair_000051,0.5
seen_pair_000052,0.5
seen_pair_000053,0.5
seen_pair_000054,0.5
seen_pair_000055,0.5
seen_pair_000056,0.5
seen_pair_000057,0.5
seen_pair_000058,0.5
seen_pair_000059,0.5
seen_pair_000060,0.5
seen_pair_000061,0.5
seen_pair_000062,0.5
seen_pair_000063,0.5
seen_pair_000064,0.5
seen_pair_000065,0.5
seen_pair_000066,0.5
seen_pair_000067,0.5
seen_pair_000068,0.5
seen_pair_000069,0.5
seen_pair_000070,0.5
seen_pair_000071,0.5
seen_pair_000072,0.5
seen_pair_000073,0.5
seen_pair_000074,0.5
seen_pair_000075,0.5
seen_pair_000076,0.5
seen_pair_000077,0.5
seen_pair_000078,0.5
seen_pair_000079,0.5
seen_pair_000080,0.5
seen_pair_000081,0.5
seen_pair_000082,0.5
seen_pair_000083,0.5
seen_pair_000084,0.5
seen_pair_000085,0.5
seen_pair_000086,0.5
seen_pair_000087,0.5
seen_pair_000088,0.5
seen_pair_000089,0.5
seen_pair_000090,0.5
seen_pair_000091,0.5
seen_pair_000092,0.5
seen_pair_000093,0.5
seen_pair_000094,0.5
seen_pair_000095,0.5
seen_pair_000096,0.5
seen_pair_000097,0.5
seen_pair_000098,0.5
seen_pair_000099,0.5
seen_pair_000100,0.5
seen_pair_000101,0.5
seen_pair_000102,0.5
seen_pair_000103,0.5
seen_pair_000104,0.5
seen_pair_000105,0.5
seen_pair_000106,0.5
seen_pair_000107,0.5
seen_pair_000108,0.5
seen_pair_000109,0.5
seen_pair_000110,0.5
seen_pair_000111,0.5
seen_pair_000112,0.5
seen_pair_000113,0.5
seen_pair_000114,0.5
seen_pair_000115,0.5
seen_pair_000116,0.5
seen_pair_000117,0.5
seen_pair_000118,0.5
seen_pair_000119,0.5
seen_pair_000120,0.5
seen_pair_000121,0.5
seen_pair_000122,0.5
seen_pair_000123,0.5
seen_pair_000124,0.5
seen_pair_000125,0.5
seen_pair_000126,0.5
seen_pair_000127,0.5
seen_pair_000128,0.5
seen_pair_000129,0.5
seen_pair_000130,0.5
seen_pair_000131,0.5
seen_pair_000132,0.5
seen_pair_000133,0.5
seen_pair_000134,0.5
seen_pair_000135,0.5
seen_pair_000136,0.5
seen_pair_000137,0.5
seen_pair_000138,0.5
seen_pair_000139,0.5
seen_pair_000140,0.5
seen_pair_000141,0.5
seen_pair_000142,0.5
seen_pair_000143,0.5
seen_pair_000144,0.5
seen_pair_000145,0.5
seen_pair_000146,0.5
seen_pair_000147,0.5
seen_pair_000148,0.5
seen_pair_000149,0.5
seen_pair_000150,0.5
seen_pair_000151,0.5
seen_pair_000152,0.5
seen_pair_000153,0.5
seen_pair_000154,0.5
seen_pair_000155,0.5
seen_pair_000156,0.5
seen_pair_000157,0.5
seen_pair_000158,0.5
seen_pair_000159,0.5
seen_pair_000160,0.5
seen_pair_000161,0.5
seen_pair_000162,0.5
seen_pair_000163,0.5
seen_pair_000164,0.5
seen_pair_000165,0.5
seen_pair_000166,0.5
seen_pair_000167,0.5
seen_pair_000168,0.5
seen_pair_000169,0.5
seen_pair_000170,0.5
seen_pair_000171,0.5
seen_pair_000172,0.5
seen_pair_000173,0.5
seen_pair_000174,0.5
seen_pair_000175,0.5
seen_pair_000176,0.5
seen_pair_000177,0.5
seen_pair_000178,0.5
seen_pair_000179,0.5
seen_pair_000180,0.5
seen_pair_000181,0.5
seen_pair_000182,0.5
seen_pair_000183,0.5
seen_pair_000184,0.5
seen_pair_000185,0.5
seen_pair_000186,0.5
seen_pair_000187,0.5
seen_pair_000188,0.5
seen_pair_000189,0.5
seen_pair_000190,0.5
seen_pair_000191,0.5
seen_pair_000192,0.5
seen_pair_000193,0.5
seen_pair_000194,0.5
seen_pair_000195,0.5
seen_pair_000196,0.5
seen_pair_000197,0.5
seen_pair_000198,0.5
seen_pair_000199,0.5
seen_pair_000200,0.5
seen_pair_000201,0.5
seen_pair_000202,0.5
seen_pair_000203,0.5
seen_pair_000204,0.5
seen_pair_000205,0.5
seen_pair_000206,0.5
seen_pair_000207,0.5
seen_pair_000208,0.5
seen_pair_000209,0.5
seen_pair_000210,0.5
seen_pair_000211,0.5
seen_pair_000212,0.5
seen_pair_000213,0.5
seen_pair_000214,0.5
seen_pair_000215,0.5
seen_pair_000216,0.5
seen_pair_000217,0.5
seen_pair_000218,0.5
seen_pair_000219,0.5
seen_pair_000220,0.5
seen_pair_000221,0.5
seen_pair_000222,0.5
seen_pair_000223,0.5
seen_pair_000224,0.5
seen_pair_000225,0.5
seen_pair_000226,0.5
seen_pair_000227,0.5
seen_pair_000228,0.5
seen_pair_000229,0.5
seen_pair_000230,0.5
seen_pair_000231,0.5
seen_pair_000232,0.5
seen_pair_000233,0.5
seen_pair_000234,0.5
seen_pair_000235,0.5
seen_pair_000236,0.5
seen_pair_000237,0.5
seen_pair_000238,0.5
